"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"100","Week - over
Games - waiting
Art ideas - up the wazoo
Commissions - almost done
Debilitating cough and fever - surpr… https://t.co/169viEZXLs",FALSE,18,NA,2019-03-08 16:28:49,TRUE,NA,"1104056384629497857",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UgWubwubmaster",0,FALSE,FALSE,NA,NA
"101","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 16:28:37,FALSE,NA,"1104056337145556992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","engler_ann",526,TRUE,FALSE,NA,NA
"102","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 16:18:25,FALSE,NA,"1104053767643766784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marvelanne97",74,TRUE,FALSE,NA,NA
"103","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 16:11:58,FALSE,NA,"1104052146280914946",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","yksask",74,TRUE,FALSE,NA,NA
"104","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 16:11:46,FALSE,NA,"1104052095827750913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","crvallotton",74,TRUE,FALSE,NA,NA
"105","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 16:10:23,FALSE,NA,"1104051746849079296",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Blublupixy",526,TRUE,FALSE,NA,NA
"106","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 15:57:22,FALSE,NA,"1104048473500921856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YYCCarolyn",74,TRUE,FALSE,NA,NA
"107","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 15:53:08,FALSE,NA,"1104047405849206790",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ed1950",74,TRUE,FALSE,NA,NA
"108","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 15:50:30,FALSE,NA,"1104046745468764160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Darling_Tweetss",526,TRUE,FALSE,NA,NA
"109","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 15:46:26,FALSE,NA,"1104045718355017728",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AigAngel",526,TRUE,FALSE,NA,NA
"110","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 15:45:25,FALSE,NA,"1104045462183727105",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","IAmzirak",526,TRUE,FALSE,NA,NA
"111","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 15:42:57,FALSE,NA,"1104044841980313603",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mz_nahna",526,TRUE,FALSE,NA,NA
"112","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 15:39:48,FALSE,NA,"1104044050754293761",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","LHarder6",74,TRUE,FALSE,NA,NA
"113","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 15:35:32,FALSE,NA,"1104042976446050304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","khairais",74,TRUE,FALSE,NA,NA
